Node,BoardingsDr,BoardingsWk,Boardings,Alightings,BoardingsAndAlightings,BoardingsAndAlightings_Half
3406,0.0,3.5,3.5,0.65,4.15,2.075
3407,0.0,0.11,0.11,0.05,0.16,0.08
3412,0.0,5.13,5.13,30.780000700000002,35.910000700000005,17.955000350000002
3415,0.0,0.06,0.06,5.25,5.31,2.655
3417,0.0,21.169999800000003,21.169999800000003,17.219999900000005,38.389999700000004,19.194999850000002
3419,0.0,46.259999300000004,46.259999300000004,57.55000109999999,103.81000039999999,51.905000199999996
3421,42.430000199999995,16.6799996,59.1099998,12.7700002,71.88,35.94
3423,1.0999999999999999,10.0799998,11.1799998,8.1700001,19.3499999,9.67499995
3425,0.0,2.69,2.69,1.1,3.79,1.895
3429,27.0599999,44.4999995,71.55999940000001,24.8399993,96.39999870000001,48.199999350000006
3434,0.0,1.01,1.01,0.5900000000000001,1.6,0.8
3435,0.0,9.6099997,9.6099997,7.1599998,16.769999499999997,8.384999749999999
3437,0.0,38.7999987,38.7999987,17.4400006,56.23999930000001,28.119999650000004
3438,0.0,0.06,0.06,0.08,0.14,0.07
3439,0.0,1.6800000000000002,1.6800000000000002,2.39,4.07,2.035
3440,11.8,7.91,19.71,79.5900011,99.3000011,49.65000055
3441,0.0,29.0499992,29.0499992,5.0900002,34.1399994,17.0699997
3442,0.0,40.9499998,40.9499998,19.5,60.4499998,30.2249999
3444,0.0,4.2599998999999995,4.2599998999999995,3.0799999,7.339999799999999,3.6699998999999996
3445,0.0,69.7799987,69.7799987,15.060000000000002,84.8399987,42.41999935
3451,0.0,4.809999899999999,4.809999899999999,0.55,5.359999899999999,2.6799999499999996
3452,0.0,3.7400001000000005,3.7400001000000005,1.94,5.680000100000001,2.8400000500000004
3454,0.0,5.7900001,5.7900001,4.4200001,10.2100002,5.1050001
3463,0.0,18.89,18.89,7.3299998,26.2199998,13.1099999
3467,0.0,11.159999800000001,11.159999800000001,8.0999997,19.2599995,9.62999975
3468,0.0,7.3100000000000005,7.3100000000000005,0.07,7.380000000000001,3.6900000000000004
3470,0.0,0.52,0.52,0.63,1.15,0.575
3471,0.0,89.01000009999998,89.01000009999998,28.2799998,117.28999989999998,58.64499994999999
3472,0.01,11.4400001,11.4500001,4.8,16.2500001,8.12500005
3475,0.0,0.1,0.1,0.64,0.74,0.37
3476,0.0,0.41,0.41,2.0,2.41,1.205
3481,0.0,1.12,1.12,0.2,1.32,0.66
3484,0.0,0.01,0.01,0.01,0.02,0.01
3486,0.0,3.95,3.95,2.1299999,6.079999900000001,3.0399999500000003
3487,0.0,40.8999982,40.8999982,5.8500002,46.749998399999996,23.374999199999998
3488,0.0,35.91999920000001,35.91999920000001,4.81,40.72999920000001,20.364999600000004
3489,207.3700027,27.11,234.4800027,5.440000100000001,239.9200028,119.9600014
3498,0.21000000000000002,49.8199994,50.02999940000001,7.9299999,57.95999930000001,28.979999650000003
3499,0.0,1.5599999,1.5599999,0.78,2.3399999,1.16999995
3502,0.0,45.7799987,45.7799987,29.859999699999996,75.6399984,37.8199992
3504,0.0,0.03,0.03,3.26,3.2899999999999996,1.6449999999999998
3508,0.0,5.0,5.0,0.75,5.75,2.875
3509,0.01,9.020000199999998,9.0300002,11.510000199999999,20.540000399999997,10.270000199999998
3523,0.0,51.6499992,51.6499992,7.769999799999999,59.419999000000004,29.709999500000002
3525,0.0,0.01,0.01,0.0,0.01,0.005
3528,0.0,52.500001000000005,52.500001000000005,52.0599995,104.5600005,52.28000025
3529,0.0,0.25,0.25,4.389999899999999,4.639999899999999,2.3199999499999997
3535,0.0,26.010000199999997,26.010000199999997,10.090000300000002,36.1000005,18.05000025
3536,0.0,0.31,0.31,0.33,0.64,0.32
3538,0.0,49.989998899999996,49.989998899999996,7.2599999,57.2499988,28.6249994
3542,0.0,78.88999629999999,78.88999629999999,13.760000300000002,92.6499966,46.3249983
3544,0.0,0.02,0.02,0.02,0.04,0.02
3545,0.0,18.9700008,18.9700008,2.5899999,21.5600007,10.78000035
3550,0.0,61.6800022,61.6800022,16.0999999,77.78000209999999,38.890001049999995
3560,0.0,29.0600004,29.0600004,59.14000130000001,88.2000017,44.10000085
3562,0.0,187.06000139999998,187.06000139999998,29.7000004,216.76000179999997,108.38000089999998
3565,0.0,3.9399999999999995,3.9399999999999995,35.459998999999996,39.399998999999994,19.699999499999997
3571,0.0,105.1400013,105.1400013,12.5300005,117.6700018,58.8350009
3573,0.0,48.810001400000004,48.810001400000004,26.469999800000004,75.28000120000002,37.64000060000001
3577,0.0,69.98000060000001,69.98000060000001,11.549999900000001,81.53000050000001,40.76500025000001
3578,0.0,9.760000199999999,9.760000199999999,2.96,12.720000199999998,6.360000099999999
3579,0.0,64.85999849999999,64.85999849999999,95.8299975,160.689996,80.344998
3580,0.0,16.6999996,16.6999996,15.329999699999998,32.0299993,16.01499965
3581,0.0,106.7100029,106.7100029,6.609999999999999,113.3200029,56.66000145
3582,0.0,70.1199989,70.1199989,7.329999900000001,77.4499988,38.7249994
3586,0.0,8.52,8.52,0.64,9.16,4.58
3587,0.0,38.7100002,38.7100002,9.4999997,48.2099999,24.10499995
3594,0.0,13.8200002,13.8200002,41.390001299999994,55.2100015,27.60500075
3595,0.0,16.0199997,16.0199997,3.0700000000000003,19.0899997,9.54499985
3596,0.0,85.3200016,85.3200016,23.1599998,108.48000139999999,54.240000699999996
3601,0.0,11.349999599999999,11.349999599999999,1.4700000000000002,12.8199996,6.4099998
