stop_lat,stop_lon,boardings,alightings,TotalOnOff,TotalOnOff_Half
39.975518,-111.776579,13.119000000000002,0.0,13.119000000000002,6.559500000000001
39.975519,-111.784847,13.119000000000002,0.0,13.119000000000002,6.559500000000001
39.975697,-111.785858,2.952,0.0,2.952,1.476
40.031240999999994,-111.74380900000001,4.6819999999999995,2.918,7.6,3.8
40.031249,-111.75353700000001,6.835,0.0,6.835,3.4175
40.032313,-111.754406,39.838,9.204,49.042,24.521
40.044422,-111.72288200000001,6.835,6.835,13.67,6.835
40.044438,-111.726836,13.706,0.0,13.706,6.853
40.044461,-111.73013700000001,13.706,0.0,13.706,6.853
40.044466,-111.731728,21.630000000000003,0.0,21.630000000000003,10.815000000000001
40.051231,-111.68327099999999,14.878,0.0,14.878,7.439
40.059878999999995,-111.66888200000001,19.61,0.0,19.61,9.805
40.060358,-111.66896799999999,12.737,45.314,58.051,29.0255
40.098478,-111.65523300000001,5.607,0.0,5.607,2.8035
40.109660999999996,-111.64841200000001,9.365,6.835,16.2,8.1
40.109677000000005,-111.65388200000001,10.189,0.0,10.189,5.0945
40.110337,-111.64063600000001,13.706,0.0,13.706,6.853
40.112192,-111.640771,7.439,12.806,20.244999999999997,10.122499999999999
40.115581,-111.640528,13.706,0.0,13.706,6.853
40.118935,-111.64048600000001,9.512,0.0,9.512,4.756
40.118972,-111.64071799999999,26.763,41.64,68.403,34.2015
40.121537,-111.63841399999998,4.756,0.0,4.756,2.378
40.160996999999995,-111.604446,24.908,0.0,24.908,12.454
40.161007,-111.606721,27.412,0.0,27.412,13.706
40.179014,-111.61078899999998,17.238,0.0,17.238,8.619
40.205432,-111.626777,23.453,0.0,23.453,11.7265
40.208835,-111.650625,2.781,0.0,2.781,1.3905
40.218227,-111.659126,17.810000000000002,7.772,25.582,12.791
40.220551,-111.65914099999999,36.272000000000006,12.429,48.70100000000001,24.350500000000004
40.221958,-111.667355,3.9339999999999997,0.0,3.9339999999999997,1.9669999999999999
40.222182000000004,-111.658569,42.76100000000001,0.0,42.76100000000001,21.380500000000005
40.224936,-111.66121499999998,21.308,0.0,21.308,10.654
40.224964,-111.66143400000001,15.314,30.791,46.105000000000004,23.052500000000002
40.225326,-111.66091899999999,18.098,52.27900000000001,70.37700000000001,35.188500000000005
40.225328000000005,-111.66121299999999,113.05699999999999,86.501,199.558,99.779
40.225353999999996,-111.66143799999999,107.30100000000002,76.23100000000001,183.53200000000004,91.76600000000002
40.225389,-111.661723,15.1,25.392,40.492,20.246
40.227684,-111.658556,30.014000000000003,0.0,30.014000000000003,15.007000000000001
40.229577,-111.647985,3.862,0.0,3.862,1.931
40.229591,-111.65123700000001,13.783000000000001,0.0,13.783000000000001,6.891500000000001
40.2296,-111.654677,9.48,0.0,9.48,4.74
40.229615,-111.645421,57.062,0.0,57.062,28.531
40.229751,-111.648729,4.899,0.0,4.899,2.4495
40.229759,-111.652018,19.701999999999998,4.756,24.458,12.229
40.230052,-111.642656,77.58900000000001,0.0,77.58900000000001,38.794500000000006
40.23018,-111.658534,23.692999999999998,0.0,23.692999999999998,11.846499999999999
40.230241,-111.64284199999999,15.1,23.172,38.272,19.136
40.232092,-111.658851,21.803,23.182,44.985,22.4925
40.232621,-111.65855900000001,28.592,0.0,28.592,14.296
40.233794,-111.709523,28.15,0.0,28.15,14.075
40.233827000000005,-111.693844,5.837000000000001,0.0,5.837000000000001,2.9185000000000003
40.233916,-111.67523,12.535,0.0,12.535,6.2675
40.233918,-111.668322,4.899,24.564,29.463,14.7315
40.23393,-111.695474,5.837000000000001,15.314,21.151,10.5755
40.234144,-111.64308999999999,9.48,23.186,32.666,16.333
40.235203000000006,-111.65920600000001,8.141,0.0,8.141,4.0705
40.235713,-111.662095,75.07900000000001,0.0,75.07900000000001,37.539500000000004
40.236115000000005,-111.643308,8.966000000000001,8.749,17.715000000000003,8.857500000000002
40.236356,-111.643054,3.862,0.0,3.862,1.931
40.237668,-111.643051,7.724,0.0,7.724,3.862
40.237997,-111.66211899999999,10.96,0.0,10.96,5.48
40.238064,-111.66233000000001,43.606,18.581,62.187,31.0935
40.240182,-111.64311599999999,7.724,0.0,7.724,3.862
40.240715,-111.662072,19.325000000000003,0.0,19.325000000000003,9.662500000000001
40.24309,-111.64856999999999,3.862,0.0,3.862,1.931
40.243107,-111.655437,18.583000000000002,0.0,18.583000000000002,9.291500000000001
40.243618,-111.658492,10.859000000000002,45.005,55.864000000000004,27.932000000000002
40.245064,-111.667301,30.332,0.0,30.332,15.166
40.245802000000005,-111.644618,47.166999999999994,42.954,90.121,45.0605
40.246139,-111.667566,8.17,24.971999999999998,33.141999999999996,16.570999999999998
40.246757,-111.667317,21.784,36.016999999999996,57.800999999999995,28.900499999999997
40.246981,-111.65849299999999,9.48,23.104,32.584,16.292
40.250005,-111.667588,8.619,0.0,8.619,4.3095
40.251103,-111.66753100000001,26.765,0.0,26.765,13.3825
40.253128000000004,-111.658758,17.498,72.362,89.86,44.93
40.253236,-111.66968100000001,17.008000000000003,21.803,38.81100000000001,19.405500000000004
40.253513,-111.69426499999999,10.234,0.0,10.234,5.117
40.253524,-111.690692,6.98,0.0,6.98,3.49
40.25372,-111.65846499999999,24.820999999999998,0.0,24.820999999999998,12.410499999999999
40.253929,-111.669909,54.269000000000005,13.644,67.91300000000001,33.956500000000005
40.256094,-111.65938999999999,3.862,9.48,13.342,6.671
40.256252,-111.672895,36.568,0.0,36.568,18.284
40.256826000000004,-111.671529,65.917,32.983000000000004,98.9,49.45
40.25703,-111.66894199999999,46.545,0.0,46.545,23.2725
40.258645,-111.674691,10.902000000000001,0.0,10.902000000000001,5.4510000000000005
40.258984999999996,-111.667854,21.686999999999998,0.0,21.686999999999998,10.843499999999999
40.259491,-111.675071,8.141,0.0,8.141,4.0705
40.260637,-111.661437,32.577000000000005,0.0,32.577000000000005,16.288500000000003
40.263688,-111.694837,10.234,16.1,26.334000000000003,13.167000000000002
40.266284000000006,-111.681193,9.798,0.0,9.798,4.899
40.267390999999996,-111.69511100000001,6.564,25.101,31.665,15.8325
40.268211,-111.682119,31.582,20.534000000000002,52.116,26.058
40.271524,-111.70561299999999,20.96,0.0,20.96,10.48
40.272031,-111.683803,44.704,11.069,55.773,27.8865
40.272233,-111.684252,35.905,35.888,71.793,35.8965
40.273444,-111.679824,4.6,114.52999999999999,119.12999999999998,59.56499999999999
40.275133000000004,-111.725102,12.497,0.0,12.497,6.2485
40.275332,-111.711979,98.61099999999999,75.03800000000001,173.649,86.8245
40.275892,-111.71244399999999,138.947,95.373,234.32,117.16
40.276583,-111.729301,51.806999999999995,0.0,51.806999999999995,25.903499999999998
40.278988,-111.728121,67.838,0.0,67.838,33.919
40.280014,-111.713851,31.605000000000004,35.573,67.178,33.589
40.280543,-111.726206,118.92799999999998,69.32,188.248,94.124
40.280722999999995,-111.715732,227.771,477.866,705.637,352.8185
40.280793,-111.72638400000001,37.491,70.4,107.891,53.9455
40.280882,-111.715671,271.233,260.486,531.719,265.8595
40.282354,-111.68744299999999,13.949000000000002,87.869,101.818,50.909
40.282617,-111.72231699999999,13.82,0.0,13.82,6.91
40.282716,-111.71801699999999,59.318,0.0,59.318,29.659
40.284106,-111.72414599999999,55.66,1.963,57.623,28.8115
40.286407000000004,-111.690206,8.141,20.534000000000002,28.675000000000004,14.337500000000002
40.286440999999996,-111.724254,25.083000000000002,0.0,25.083000000000002,12.541500000000001
40.287901,-111.733655,1.963,0.0,1.963,0.9815
