stop_lat,stop_lon,alightings
40.031240999999994,-111.74380900000001,2.918
40.032151,-111.73523600000001,7.439
40.032313,-111.754406,9.204
40.032454,-111.754278,2.952
40.033778999999996,-111.734094,7.439
40.044422,-111.72288200000001,6.835
40.044643,-111.73279699999999,30.471
40.044657,-111.716439,12.737
40.060358,-111.66896799999999,45.314
40.106141,-111.65466299999999,23.18
40.107003000000006,-111.655002,7.439
40.107931,-111.654991,11.968
40.109660999999996,-111.64841200000001,6.835
40.112192,-111.640771,12.806
40.115551,-111.64074199999999,8.17
40.117214000000004,-111.640731,20.106
40.118972,-111.64071799999999,41.64
40.121572,-111.638752,21.84
40.122710999999995,-111.633803,5.904
40.142445,-111.612136,16.340999999999998
40.160559,-111.610776,32.592
40.161193,-111.60736100000001,6.242999999999999
40.164194,-111.60328700000001,2.952
40.181821,-111.610778,4.303
40.197371999999994,-111.61747700000001,12.535
40.20727,-111.62954199999999,8.606
40.214535999999995,-111.656644,4.99
40.217026000000004,-111.658798,11.069
40.218227,-111.659126,7.772
40.220551,-111.65914099999999,12.429
40.221705,-111.665148,5.837000000000001
40.222364,-111.658879,153.606
40.224911999999996,-111.660886,6.822
40.224964,-111.66143400000001,30.791
40.225326,-111.66091899999999,52.27900000000001
40.225328000000005,-111.66121299999999,86.501
40.225353999999996,-111.66143799999999,76.23100000000001
40.225389,-111.661723,25.392
40.229199,-111.65887099999999,26.702
40.229759,-111.652018,4.756
40.230241,-111.64284199999999,23.172
40.232092,-111.658851,23.182
40.233339,-111.658841,23.182
40.233918,-111.668322,24.564
40.23393,-111.695474,15.314
40.234144,-111.64308999999999,23.186
40.235061,-111.66023100000001,6.095
40.236115000000005,-111.643308,8.749
40.238064,-111.66233000000001,18.581
40.239768,-111.643301,10.844000000000001
40.240094,-111.66230300000001,24.067999999999998
40.242977,-111.654839,6.564
40.243618,-111.658492,45.005
40.243924,-111.662233,3.0469999999999997
40.245802000000005,-111.644618,42.954
40.245921,-111.64478600000001,112.914
40.246139,-111.667566,24.971999999999998
40.246757,-111.667317,36.016999999999996
40.246981,-111.65849299999999,23.104
40.251274,-111.658552,18.96
40.252615999999996,-111.66188100000001,2.781
40.252671,-111.662103,27.3
40.253128000000004,-111.658758,72.362
40.253236,-111.66968100000001,21.803
40.253403999999996,-111.68576499999999,4.5889999999999995
40.253409999999995,-111.68085900000001,14.197000000000001
40.253929,-111.669909,13.644
40.255559000000005,-111.694854,14.197000000000001
40.255935,-111.67218899999999,12.485999999999999
40.256094,-111.65938999999999,9.48
40.256826000000004,-111.671529,32.983000000000004
40.256879999999995,-111.66103500000001,12.328
40.256910999999995,-111.66894599999999,58.084
40.256915,-111.672676,17.008000000000003
40.261527,-111.676955,15.552
40.261752,-111.667933,4.5889999999999995
40.263688,-111.694837,16.1
40.267295000000004,-111.68199399999999,12.485999999999999
40.267390999999996,-111.69511100000001,25.101
40.268211,-111.682119,20.534000000000002
40.268409999999996,-111.657376,4.157
40.270702,-111.70844699999999,28.394000000000002
40.272031,-111.683803,11.069
40.272146,-111.712021,6.207999999999999
40.272233,-111.684252,35.888
40.272889,-111.67868500000002,31.104
40.273444,-111.679824,114.52999999999999
40.273672999999995,-111.69596200000001,3.862
40.275332,-111.711979,75.03800000000001
40.275892,-111.71244399999999,95.373
40.277068,-111.657798,2.955
40.278052,-111.70820800000001,25.083000000000002
40.278207,-111.676426,6.095
40.278875,-111.72863000000001,117.791
40.279022999999995,-111.676199,15.552
40.279328,-111.708611,21.82
40.280014,-111.713851,35.573
40.280543,-111.726206,69.32
40.280722999999995,-111.715732,477.866
40.280793,-111.72638400000001,70.4
40.280882,-111.715671,260.486
40.281197999999996,-111.67646599999999,9.985
40.282354,-111.68744299999999,87.869
40.282432,-111.65858100000001,8.315
40.282598,-111.71800400000001,82.53200000000001
40.282926,-111.688657,13.642999999999999
40.283159999999995,-111.658404,4.6819999999999995
40.284106,-111.72414599999999,1.963
40.286407000000004,-111.690206,20.534000000000002
40.289011,-111.72431200000001,5.983
40.289304,-111.658324,28.945
40.289403,-111.691722,6.095
40.289929,-111.728311,5.117
40.293752000000005,-111.693351,20.534000000000002
40.295471,-111.69410400000001,65.281
40.296690999999996,-111.69503700000001,40.431
40.297039,-111.677485,13.845
40.297364,-111.67639799999999,2.955
40.298061,-111.695209,25.189
40.299145,-111.696076,16.791
40.299597,-111.724227,3.0469999999999997
40.301165999999995,-111.696595,58.114000000000004
40.302761,-111.66271299999998,17.422
40.303699,-111.698101,20.214999999999996
40.303708,-111.662904,10.96
40.305165,-111.69843200000001,13.642999999999999
40.307745000000004,-111.67654499999999,2.3
40.307821000000004,-111.67671299999999,45.498000000000005
40.309195,-111.724352,41.821999999999996
40.313278000000004,-111.70188799999998,53.817
40.313882,-111.719691,41.821999999999996
40.317158,-111.70359099999999,19.596
40.319878,-111.70479399999999,12.36
40.322927,-111.68051899999999,9.985
40.326372,-111.71411599999999,72.999
40.326413,-111.709896,20.910999999999998
40.326438,-111.706956,3.0469999999999997
40.326615999999994,-111.70916799999999,8.507
40.326705,-111.687322,2.3
40.330379,-111.71087800000001,22.237
40.330594,-111.710714,8.141
40.332719,-111.712453,11.213
40.333298,-111.713371,49.173
40.335535,-111.714771,13.04
40.341511,-111.72009399999999,22.237
40.349995,-111.729693,16.005
40.350117,-111.729304,19.596
40.351546,-111.73143200000001,22.237
40.356342,-111.736731,37.288
40.357791999999996,-111.738969,22.679000000000002
40.361893,-111.74066599999999,11.213
40.362004999999996,-111.740797,22.679000000000002
40.363217,-111.74067099999999,19.354
40.364053999999996,-111.742529,22.237
40.364719,-111.74450300000001,8.141
40.365621000000004,-111.74944199999999,10.931
40.366181,-111.751701,10.894
40.369776,-111.76798600000001,21.485
40.370422,-111.769827,8.141
40.372234000000006,-111.777782,16.215999999999998
40.372601,-111.780428,16.005
40.373723,-111.783928,30.869
40.374506,-111.787357,8.107999999999999
40.374918,-111.79021599999999,16.005
40.376828,-111.796704,22.426
40.376962,-111.806997,8.107999999999999
40.379658,-111.73991299999999,4.794
40.381864,-111.813926,20.910999999999998
40.387252000000004,-111.822506,21.914
40.388076,-111.91618400000002,1.6380000000000001
40.389178,-111.827426,20.522
40.395676,-111.772319,2.397
40.398663,-111.92627399999999,20.544
40.399024,-111.931822,44.335
40.402341,-111.855048,6.164
40.404167,-111.857463,8.507
40.411406,-111.866875,17.906
40.418748,-111.880774,17.939
40.420421000000005,-111.88600600000001,81.15199999999999
40.425608000000004,-111.895555,34.742
40.425708,-111.89611799999999,38.589999999999996
40.431919,-111.811242,41.46
40.435596000000004,-111.890951,61.717
40.525271000000004,-111.858303,10.03
40.52609,-111.871305,1.771
40.526641,-111.884616,1.771
40.542425,-111.929056,1.706
40.553740999999995,-111.929248,1.3519999999999999
40.555706,-111.929051,1.197
40.556905,-111.911875,2.755
40.559616999999996,-111.902501,4.0569999999999995
40.561065,-111.92925100000001,1.3519999999999999
40.562169,-111.93796200000001,10.131
40.562426,-111.93436399999999,6.501
40.563601,-111.901253,27.501999999999995
40.56375,-111.90086399999998,15.939999999999998
40.565215,-111.894929,20.45
40.565665,-111.938828,8.675
40.565675,-111.90380800000001,7.909
40.569261,-111.904575,7.444
40.569815000000006,-111.89625600000001,5.025
40.570878,-111.884752,23.125999999999998
40.572608,-111.938854,5.8020000000000005
40.57575,-111.89069099999999,34.708
40.576161,-111.89100400000001,5.025
40.578724,-111.83293300000001,4.2860000000000005
40.578844000000004,-111.833211,84.18099999999998
40.579846999999994,-111.89105500000001,2.572
40.580504,-111.86944199999999,7.077999999999999
40.584286,-111.97336499999999,44.267999999999994
40.584784,-111.938873,4.82
40.586039,-111.93851799999999,7.481
40.586395,-111.9951,7.087000000000001
40.587139,-111.891021,2.572
40.587748,-111.98453899999998,5.646
40.588739000000004,-111.90413500000001,9.342
40.589311,-111.834298,15.930000000000001
40.589401,-111.93887099999999,9.94
40.59218,-112.449044,5.284
40.592251,-112.42631599999999,9.381
40.592655,-111.938573,3.4130000000000003
40.593255,-111.89101200000002,5.025
40.593911999999996,-111.85331799999999,1.8880000000000001
40.594337,-111.83216599999999,4.2860000000000005
40.594934,-111.970828,23.505
40.595057000000004,-111.97038899999998,16.923
40.596399,-111.890997,5.025
40.596404,-112.01620700000001,10.288
40.598107,-112.01804399999999,1.431
40.598397,-111.900499,3.025
40.599229,-111.95685800000001,32.016999999999996
40.599303000000006,-111.896181,14.727
40.599556,-111.832245,12.552999999999999
40.599662,-112.449421,5.284
40.599727,-112.45789099999999,4.0969999999999995
40.599758,-112.46076299999999,5.284
40.601627,-111.96745800000001,10.87
40.602077,-111.938552,5.698
40.602692,-111.79587099999999,4.817
40.605037,-111.83311200000001,15.452
40.605127,-111.936159,172.62299999999996
40.606093,-112.01446000000001,2.863
40.606603,-111.938598,2.77
40.608721,-111.96756699999999,2.812
40.609356,-111.79739599999999,4.629
40.609367,-111.808497,3.01
40.609372,-111.801647,4.629
40.60947,-111.870921,15.02
40.609489,-111.86431599999999,1.286
40.6096,-111.98323300000001,5.646
40.609607000000004,-111.87298200000001,7.0329999999999995
40.609648,-111.93766799999999,5.236000000000001
40.610323,-111.89315900000001,71.30600000000001
40.610323,-111.89315,5.007
40.610399,-111.86272199999999,22.336
40.610493,-111.96736899999999,3.6439999999999997
40.610675,-111.89351699999999,46.28
40.612144,-111.938929,36.239999999999995
40.612175,-111.862707,11.168
40.612286,-111.890864,1.286
40.613869,-111.938921,2.955
40.614403,-111.833572,15.348
40.614973,-111.979942,21.395
40.616008,-111.938927,16.855999999999998
40.616106,-111.890477,5.91
40.616576,-111.862715,37.524
40.618302,-111.85958500000001,41.535999999999994
40.618460999999996,-111.89810800000001,17.073999999999998
40.61853,-111.85994699999999,17.323
40.619988,-111.93893100000001,25.014999999999997
40.620125,-111.834511,11.654
40.620131,-111.89074699999999,7.508000000000001
40.620221,-111.979207,14.125
40.620678000000005,-111.877545,7.16
40.620688,-111.879851,5.822
