OID_,MODE,NAMEID,NAME,OPERATOR,ONEWAY,LINKSEQ1,LINKSEQ2,A,STOP_NAME,DIST,PK_TIME1,PK_TIME2,PK_SPEED1,PK_SPEED2,OK_TIME1,OK_TIME2,OK_SPEED1,OK_SPEED2,PK_D_BRD1,PK_W_BRD1,PK_BOARD1,PK_ALIGHT1,PK_RIDERS1,PK_D_BRD2,PK_W_BRD2,PK_BOARD2,PK_ALIGHT2,PK_RIDERS2,OK_D_BRD1,OK_W_BRD1,OK_BOARD1,OK_ALIGHT1,OK_RIDERS1,OK_D_BRD2,OK_W_BRD2,OK_BOARD2,OK_ALIGHT2,OK_RIDERS2,DY_D_BRD1,DY_W_BRD1,DY_BOARD1,DY_ALIGHT1,DY_RIDERS1,DY_D_BRD2,DY_W_BRD2,DY_BOARD2,DY_ALIGHT2,DY_RIDERS2,TOT_DRIVE,TOT_WALK,TOT_BOARD,TOT_ALIGHT,TOT_RIDERS
,4,1.0000000,D460,0.000000000000000,1,1,0,20131, ,0.4900000,1.9000000,0.0000000,15.5000000,0.0000000,1.9000000,0.0000000,15.5000000,0.0000000,2.2100000,3.4000001,5.6100001,0.0000000,5.6100001,0.0000000,0.0000000,0.0000000,5.6100001,5.6100001,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,2.2100000,3.4000001,5.6100001,0.0000000,5.6100001,0.0000000,0.0000000,0.0000000,5.6100001,5.6100001,2.2100000,3.4000001,5.6100001,5.6100001,11.2200003
,4,1.0000000,D460,0.000000000000000,1,3,129,3434, ,0.7700000,2.4200001,0.0000000,19.1000004,0.0000000,2.4900000,0.0000000,18.6000004,0.0000000,0.0000000,0.2200000,0.2200000,0.0100000,5.8200002,0.0000000,0.0100000,0.0100000,0.2200000,5.8200002,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2200000,0.2200000,0.0100000,5.8200002,0.0000000,0.0100000,0.0100000,0.2200000,5.8200002,0.0000000,0.2300000,0.2300000,0.2300000,11.6400003
,4,1.0000000,D460,0.000000000000000,1,5,127,3971, ,0.6000000,1.8400000,0.0000000,19.6000004,0.0000000,1.8200001,0.0000000,19.7999992,0.0000000,0.0000000,0.2400000,0.2400000,0.0900000,5.9699998,0.0000000,0.0900000,0.0900000,0.2400000,5.9699998,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2400000,0.2400000,0.0900000,5.9699998,0.0000000,0.0900000,0.0900000,0.2400000,5.9699998,0.0000000,0.3300000,0.3300000,0.3300000,11.9399996
,4,1.0000000,D460,0.000000000000000,1,11,121,3454, ,0.9400000,3.6500001,0.0000000,15.5000000,0.0000000,3.4700000,0.0000000,16.2999992,0.0000000,0.0000000,0.4200000,0.4200000,2.9300001,3.4700000,0.0000000,2.9300001,2.9300001,0.4200000,3.4700000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.4200000,0.4200000,2.9300001,3.4700000,0.0000000,2.9300001,2.9300001,0.4200000,3.4700000,0.0000000,3.3599999,3.3599999,3.3599999,6.9299998
,4,1.0000000,D460,0.000000000000000,1,14,118,3452, ,0.9300000,2.6099999,0.0000000,21.3999996,0.0000000,2.5100000,0.0000000,22.2000008,0.0000000,0.0000000,2.2000000,2.2000000,0.3500000,5.3099999,0.0000000,0.3500000,0.3500000,2.2000000,5.3099999,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,2.2000000,2.2000000,0.3500000,5.3099999,0.0000000,0.3500000,0.3500000,2.2000000,5.3099999,0.0000000,2.5599999,2.5599999,2.5599999,10.6199999
,4,1.0000000,D460,0.000000000000000,1,16,116,3636, ,0.4500000,1.3099999,0.0000000,20.6000004,0.0000000,1.2600000,0.0000000,21.3999996,0.0000000,0.0000000,10.5600004,10.5600004,2.7600000,13.1099997,0.0000000,2.7600000,2.7600000,10.5600004,13.1099997,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,10.5600004,10.5600004,2.7600000,13.1099997,0.0000000,2.7600000,2.7600000,10.5600004,13.1099997,0.0000000,13.3199997,13.3199997,13.3199997,26.2199993
,4,1.0000000,D460,0.000000000000000,1,18,114,3476, ,1.0500000,3.1800001,0.0000000,19.7999992,0.0000000,3.5100000,0.0000000,17.8999996,0.0000000,0.0000000,0.2400000,0.2400000,0.2900000,13.0600004,0.0000000,0.2900000,0.2900000,0.2400000,13.0600004,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.2400000,0.2400000,0.2900000,13.0600004,0.0000000,0.2900000,0.2900000,0.2400000,13.0600004,0.0000000,0.5300000,0.5300000,0.5300000,26.1100006
,4,1.0000000,D460,0.000000000000000,1,21,111,3481, ,0.3300000,1.2500000,0.0000000,15.8000002,0.0000000,1.2400000,0.0000000,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.1000000,12.9600000,0.0000000,0.1000000,0.1000000,0.0000000,12.9600000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.1000000,12.9600000,0.0000000,0.1000000,0.1000000,0.0000000,12.9600000,0.0000000,0.1000000,0.1000000,0.1000000,25.9099998
,4,1.0000000,D460,0.000000000000000,1,23,109,3498, ,3.3399999,13.9099998,0.0000000,14.3999996,0.0000000,9.3900003,0.0000000,21.2999992,0.0000000,0.0000000,1.8200001,1.8200001,0.5500000,14.2299995,0.0000000,0.5500000,0.5500000,1.8200001,14.2299995,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.8200001,1.8200001,0.5500000,14.2299995,0.0000000,0.5500000,0.5500000,1.8200001,14.2299995,0.0000000,2.3699999,2.3699999,2.3699999,28.4599991
,4,1.0000000,D460,0.000000000000000,1,35,97,3565, ,0.7400000,2.2600000,0.0000000,19.6000004,0.0000000,2.0699999,0.0000000,21.3999996,0.0000000,0.0000000,0.1000000,0.1000000,0.2000000,14.1199999,0.0000000,0.2000000,0.2000000,0.1000000,14.1199999,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.1000000,0.1000000,0.2000000,14.1199999,0.0000000,0.2000000,0.2000000,0.1000000,14.1199999,0.0000000,0.3000000,0.3000000,0.3000000,28.2399998
